date,purchases,unique_invoices,streams,total_views,revenue
2017-11-28,3223.0,166.0,1345.0,15047.0,14450.540000000325
2017-11-29,3277.0,133.0,1397.0,14159.0,13411.960000000328
2017-11-30,3002.0,150.0,1335.0,15766.0,13290.250000000262
2017-12-01,2559.0,107.0,1256.0,12524.0,9687.280000000057
2017-12-02,402.0,32.0,287.0,3313.0,1443.2600000000011
2017-12-03,1942.0,90.0,977.0,8544.0,6432.939999999952
2017-12-04,2869.0,123.0,1354.0,12751.0,13137.500000000222
2017-12-05,2440.0,170.0,1196.0,12604.0,9467.010000000033
2017-12-06,2470.0,114.0,1308.0,10510.0,11268.54000000006
2017-12-07,2492.0,123.0,1229.0,11985.0,10976.600000000073
2017-12-08,1542.0,121.0,876.0,7922.0,4898.319999999972
2017-12-09,,,,,
2017-12-10,1776.0,77.0,980.0,8521.0,4982.869999999973
2017-12-11,4117.0,122.0,1596.0,17017.0,19866.98000000031
2017-12-12,2004.0,123.0,1031.0,11127.0,10012.130000000036
2017-12-13,3216.0,106.0,1421.0,14280.0,15879.660000000289
2017-12-14,1965.0,162.0,1067.0,9505.0,7701.579999999948
2017-12-15,2057.0,84.0,1123.0,8973.0,10970.560000000138
2017-12-16,,,,,
2017-12-17,637.0,40.0,468.0,4013.0,1964.7900000000047
2017-12-18,645.0,52.0,467.0,3212.0,2846.579999999992
2017-12-19,2053.0,203.0,1146.0,5218.0,13350.100000000077
2017-12-20,540.0,32.0,377.0,3028.0,2268.309999999997
2017-12-21,,,,,
2017-12-22,,,,,
2017-12-23,,,,,
2017-12-24,,,,,
2017-12-25,,,,,
2017-12-26,,,,,
2017-12-27,,,,,
2017-12-28,,,,,
2017-12-29,,,,,
2017-12-30,,,,,
2017-12-31,,,,,
2018-01-01,668.0,70.0,521.0,3005.0,1966.550000000005
2018-01-02,938.0,46.0,634.0,5603.0,3061.269999999997
2018-01-03,294.0,14.0,250.0,1994.0,965.8500000000016
2018-01-04,1065.0,87.0,695.0,8499.0,3373.1599999999894
2018-01-05,719.0,49.0,505.0,5463.0,4979.929999999986
2018-01-06,,,,,
2018-01-07,704.0,37.0,489.0,4702.0,2080.1000000000076
2018-01-08,2688.0,74.0,1082.0,8682.0,14429.400000000163
2018-01-09,1107.0,65.0,775.0,5678.0,3799.5799999999917
2018-01-10,1644.0,64.0,927.0,5706.0,11600.810000000054
2018-01-11,2230.0,87.0,1062.0,9615.0,12228.63000000008
2018-01-12,662.0,53.0,441.0,4534.0,2084.960000000004
2018-01-13,,,,,
2018-01-14,1116.0,41.0,684.0,5700.0,3438.3099999999854
2018-01-15,1908.0,50.0,1008.0,6112.0,8908.330000000016
2018-01-16,1859.0,51.0,1068.0,8924.0,7847.690999999996
2018-01-17,1224.0,80.0,810.0,5168.0,7021.909999999994
2018-01-18,1228.0,88.0,780.0,7288.0,3854.5999999999813
2018-01-19,1520.0,77.0,888.0,8369.0,9419.020000000019
2018-01-20,,,,,
2018-01-21,1271.0,52.0,706.0,5892.0,4022.2299999999764
2018-01-22,1699.0,72.0,920.0,7689.0,7017.8099999999695
2018-01-23,1588.0,168.0,853.0,8009.0,15461.130000000103
2018-01-24,1560.0,85.0,887.0,7649.0,6385.549999999985
2018-01-25,1254.0,83.0,752.0,7821.0,3804.139999999985
2018-01-26,1209.0,82.0,718.0,6193.0,23966.84099999995
2018-01-27,,,,,
2018-01-28,1400.0,58.0,796.0,7490.0,3953.5599999999804
2018-01-29,1399.0,82.0,841.0,6337.0,7421.110999999983
2018-01-30,1177.0,60.0,744.0,7143.0,4616.5299999999725
2018-01-31,1551.0,150.0,949.0,7229.0,5971.390999999984
2018-02-01,1590.0,143.0,894.0,8239.0,4837.899999999967
2018-02-02,1077.0,147.0,710.0,5556.0,4328.159999999993
2018-02-03,,,,,
2018-02-04,844.0,35.0,558.0,3803.0,2310.459999999998
2018-02-05,1373.0,75.0,789.0,6617.0,6838.369999999995
2018-02-06,1058.0,58.0,670.0,6954.0,3607.209999999988
2018-02-07,884.0,38.0,627.0,2974.0,4111.6899999999805
2018-02-08,871.0,101.0,554.0,4781.0,2901.149999999991
2018-02-09,824.0,75.0,612.0,4153.0,3009.969999999987
2018-02-10,,,,,
2018-02-11,1194.0,51.0,710.0,6478.0,3554.9899999999825
2018-02-12,899.0,55.0,571.0,6991.0,5680.740999999991
2018-02-13,1950.0,109.0,1095.0,9178.0,8022.729999999969
2018-02-14,1050.0,64.0,676.0,6888.0,3361.3899999999853
2018-02-15,1390.0,91.0,788.0,8389.0,5028.669999999965
2018-02-16,1634.0,64.0,923.0,5494.0,7938.450000000003
2018-02-17,,,,,
2018-02-18,981.0,60.0,616.0,4351.0,3367.130999999978
2018-02-19,1156.0,86.0,695.0,8322.0,3731.489999999982
2018-02-20,1214.0,88.0,768.0,6589.0,4217.939999999986
2018-02-21,1390.0,123.0,836.0,6950.0,5192.740999999978
2018-02-22,1561.0,91.0,870.0,9503.0,5217.099999999964
2018-02-23,1028.0,65.0,704.0,4703.0,7546.430999999987
2018-02-24,,,,,
2018-02-25,1293.0,58.0,739.0,5616.0,3960.7899999999745
2018-02-26,1230.0,97.0,804.0,7039.0,4471.599999999968
2018-02-27,1619.0,137.0,976.0,7563.0,6904.309999999994
2018-02-28,1763.0,84.0,1024.0,10398.0,6203.959999999964
2018-03-01,1937.0,102.0,1009.0,11677.0,7608.819999999953
2018-03-02,1269.0,86.0,772.0,6456.0,5063.209999999978
2018-03-03,,,,,
2018-03-04,1802.0,67.0,1083.0,8424.0,6232.909999999957
2018-03-05,1972.0,109.0,1068.0,8910.0,9686.82999999994
2018-03-06,1254.0,105.0,784.0,7080.0,6752.6799999999685
2018-03-07,1607.0,84.0,934.0,8572.0,6373.6099999999915
2018-03-08,1319.0,76.0,858.0,6657.0,5420.859999999985
2018-03-09,932.0,54.0,661.0,5351.0,3744.0900000000015
2018-03-10,,,,,
2018-03-11,669.0,25.0,447.0,2964.0,1817.5800000000036
2018-03-12,1690.0,82.0,979.0,7051.0,7573.530999999985
2018-03-13,1396.0,94.0,831.0,7229.0,5195.8999999999705
2018-03-14,1293.0,56.0,778.0,7873.0,4263.499999999966
2018-03-15,1591.0,97.0,847.0,9830.0,6450.7199999999775
2018-03-16,1408.0,92.0,757.0,7221.0,48929.06999999991
2018-03-17,,,,,
2018-03-18,1392.0,64.0,799.0,6922.0,4007.2199999999752
2018-03-19,1553.0,104.0,896.0,8340.0,6600.9699999999675
2018-03-20,1315.0,84.0,751.0,6541.0,52515.16999999939
2018-03-21,1594.0,117.0,871.0,8893.0,9218.690000000033
2018-03-22,1899.0,112.0,946.0,10163.0,19204.28000000016
2018-03-23,1388.0,86.0,884.0,7721.0,5331.209999999987
2018-03-24,,,,,
2018-03-25,1838.0,60.0,904.0,9368.0,4761.22999999998
2018-03-26,1983.0,98.0,1035.0,9528.0,8616.999999999964
2018-03-27,1900.0,108.0,1011.0,10054.0,7485.14999999996
2018-03-28,1898.0,87.0,954.0,8989.0,7870.139999999959
2018-03-29,1719.0,113.0,927.0,9504.0,6704.069999999963
2018-03-30,,,,,
2018-03-31,,,,,
2018-04-01,,,,,
2018-04-02,,,,,
2018-04-03,1106.0,67.0,700.0,5633.0,3875.0999999999694
2018-04-04,1385.0,72.0,829.0,7822.0,4907.66999999996
2018-04-05,2024.0,96.0,1023.0,11108.0,7273.149999999966
2018-04-06,919.0,57.0,600.0,5416.0,3490.169999999985
2018-04-07,,,,,
2018-04-08,1114.0,44.0,664.0,6339.0,3202.429999999993
2018-04-09,1012.0,86.0,610.0,6696.0,3510.4709999999855
2018-04-10,1318.0,92.0,756.0,6755.0,4270.259999999978
2018-04-11,1129.0,64.0,625.0,7653.0,3469.879999999987
